type,desc,prob,fair,edge,ev,kelly,conf,home,away,line_value,total_value
ML_HOME,Auburn ML (-450),0.8717948717948718,0.7864077669902912,0.08538710480458056,6.552706552706564,0.05,HIGH,Auburn,Ohio St.,,
SPREAD_HOME,Auburn -10.5 (-110),0.6768676933002601,0.5,0.1768676933002601,29.220195993686026,0.05,HIGH,Auburn,Ohio St.,5.229311593349788,
UNDER,Under 148.5 (-110),0.5980890370340731,0.5,0.09808903703407312,14.180634342868515,0.03899674444288841,HIGH,Auburn,Ohio St.,,
ML_HOME,Duke ML (-550),0.9820359281437125,0.8088235294117646,0.17321239873194794,16.058791507893307,0.05,HIGH,Duke,NC State,,
SPREAD_HOME,Duke -12.0 (-108),0.6901229053469088,0.4956702459300312,0.19445265941687762,32.91255954829355,0.05,HIGH,Duke,NC State,5.653633136075207,
UNDER,Under 155.5 (-115),0.7985916166772722,0.5108342361863488,0.28775738049092336,49.30191094401175,0.05,HIGH,Duke,NC State,,
SPREAD_AWAY,Missouri +15.5 (-115),0.5407527198526855,0.5108342361863488,0.029918483666336648,1.0972476246324914,0.0031545869208184133,LOW,Kansas,Missouri,,
UNDER,Under 149.5 (-110),0.6275999744679103,0.5,0.12759997446791027,19.814540580237416,0.05,HIGH,Kansas,Missouri,,
ML_HOME,Florida ML (-200),0.74235807860262,0.6428571428571429,0.09950093574547714,11.353711790393007,0.05,HIGH,Florida,North Carolina,,
SPREAD_HOME,Florida -4.5 (-110),0.6766696310111231,0.5,0.1766696310111231,29.182384102123503,0.05,HIGH,Florida,North Carolina,5.223027406611838,
UNDER,Under 152.5 (-110),0.7241030363814066,0.5,0.2241030363814066,38.23785240008672,0.05,HIGH,Florida,North Carolina,,
ML_HOME,Oregon ML (+135),0.6640625,0.4117884537747275,0.2522740462252725,56.054687500000014,0.05,HIGH,Oregon,UCLA,,
SPREAD_HOME,Oregon +3.0 (-110),0.8154936410535669,0.5,0.3154936410535669,55.685149655680966,0.05,HIGH,Oregon,UCLA,10.235405850051492,
ML_HOME,Drake ML (+125),0.59375,0.42888402625820565,0.16486597374179435,33.59375,0.05,HIGH,Drake,Dayton,,
SPREAD_HOME,Drake +2.5 (-110),0.5813108828614607,0.5,0.08131088286146071,10.977532182642502,0.03018821350226688,HIGH,Drake,Dayton,2.338574729498661,
OVER,Over 140.5 (-110),0.6637309422106725,0.5,0.16373094221067253,26.71227078567385,0.05,HIGH,Drake,Dayton,,5.002270469287566
